alias,pop,parent,dims,gating_method,gating_args,collapseDataForGating,groupBy,preprocessing_method,preprocessing_args
singlets,+,root,"FSC-A,FSC-H",singletGate,,FALSE,NA,NA,
lymphocytes,+,singlets,"FSC-A, SSC-A",flowClust,"K=2, target=c(2e6, 5e5)",FALSE,NA,NA,
Tcells,+,lymphocytes,Spark Blue 550-A,gate_mindensity,,FALSE,NA,NA,
*,+/-,Tcells,Vd2,gate_mindensity,"gate_range=c(2500,2750)",FALSE,NA,NA,
*,+/-,Vd2-,CD4,gate_mindensity,"gate_range=c(2500,2750)",FALSE,NA,NA,
*,+/-,CD4-,CD8,gate_mindensity,,FALSE,NA,NA,
Vd2_IFNg,+,Vd2+,IFNg,gate_mindensity,"gate_range=c(2900,3000)",FALSE,NA,NA,
Vd2_TNFa,+,Vd2+,TNFa,gate_mindensity,"gate_range=c(2900,3000)",FALSE,NA,NA,
Vd2_IL2,+,Vd2+,IL-2,gate_mindensity,"gate_range=c(2900,3000)",FALSE,NA,NA,
Vd2_CD107a,+,Vd2+,CD107a,gate_mindensity,"gate_range=c(2900,3000)",FALSE,NA,NA,
CD4_IFNg,+,CD4+,IFNg,gate_mindensity,"gate_range=c(2900,3000)",FALSE,NA,NA,
CD4_TNFa,+,CD4+,TNFa,gate_mindensity,"gate_range=c(2900,3000)",FALSE,NA,NA,
CD4_IL2,+,CD4+,IL-2,gate_mindensity,"gate_range=c(2900,3000)",FALSE,NA,NA,
CD4_CD107a,+,CD4+,CD107a,gate_mindensity,"gate_range=c(2900,3000)",FALSE,NA,NA,
CD8_IFNg,+,CD8+,IFNg,gate_mindensity,"gate_range=c(2900,3000)",FALSE,NA,NA,
CD8_TNFa,+,CD8+,TNFa,gate_mindensity,"gate_range=c(2900,3000)",FALSE,NA,NA,
CD8_IL2,+,CD8+,IL-2,gate_mindensity,"gate_range=c(2900,3000)",FALSE,NA,NA,
CD8_CD107a,+,CD8+,CD107a,gate_mindensity,"gate_range=c(2900,3000)",FALSE,NA,NA,
DN_IFNg,+,CD8-,IFNg,gate_mindensity,"gate_range=c(2900,3000)",FALSE,NA,NA,
DN_TNFa,+,CD8-,TNFa,gate_mindensity,"gate_range=c(2900,3000)",FALSE,NA,NA,
DN_IL2,+,CD8-,IL-2,gate_mindensity,"gate_range=c(2900,3000)",FALSE,NA,NA,
DN_CD107a,+,CD8-,CD107a,gate_mindensity,"gate_range=c(2900,3000)",FALSE,NA,NA,
